,School,Major,Batch,Sem1_courses,Sem1_grades,Sem2_courses,Sem2_grades,Sem3_courses,Sem3_grades,Sem4_courses,Sem4_grades,Sem5_courses,Sem5_grades,Sem6_courses,Sem6_grades,Sem7_courses,Sem7_grades,Sem8_courses,Sem8_grades
10,School of Engineering,MED,2014,"['CCC704', 'CCC402', 'CCC319']","['C-', 'A-', 'D']","['CCC413', 'CCC814', 'CCC218']","['C', 'F', 'F']","['CCC103', 'CCC222', 'CCC112', 'CCC214']","['C-', 'F', 'F', 'C-']",['CCC225'],['C'],,,,,,,,
11,School of Engineering,CSD,2014,"['CCC704', 'CCC302', 'CCC215']","['C', 'C', 'C-']","['CCC816', 'CCC608', 'CCC407', 'CCC413']","['B', 'B', 'F', 'B']","['CCC224', 'CCC805', 'CCC414']","['B-', 'C', 'A-']","['CCC623', 'CCC217']","['C-', 'B']",,,,,,,,
12,School of Humanities & Soc Sci,ECO,2014,['CCC704'],['C-'],"['CCC403', 'CCC509', 'CCC411', 'CCC816', 'CCC218', 'CCC514']","['B', 'C', 'D', 'F', 'F', 'C-']",,,,,,,,,,,,
13,School of Natural Sciences,PHY,2014,['CCC704'],['D'],"['CCC402', 'CCC414', 'CCC229']","['A-', 'A-', 'B']",,,,,,,,,,,,
14,School of Engineering,CSD,2014,['CCC704'],['F'],['CCC704'],['C-'],"['CCC202', 'CCC402']","['A', 'D']","['CCC214', 'CCC103', 'CCC326', 'CCC609']","['B', 'F', 'B', 'D']","['CCC515', 'CCC327']","['B', 'A']","['CCC331', 'CCC302']","['B-', 'B']",,,,
15,School of Engineering,CSD,2014,['CCC704'],['D'],"['CCC315', 'CCC409']","['B', 'B']","['CCC801', 'CCC604']","['A-', 'B-']","['CCC510', 'CCC816']","['A-', 'B']","['CCC614', 'CCC314', 'CCC214', 'CCC402']","['F', 'C', 'C', 'C']",['CCC326'],['F'],,,,
16,School of Engineering,CSD,2014,"['CCC704', 'CCC402', 'CCC604']","['D', 'B', 'B-']","['CCC319', 'CCC813', 'CCC801']","['B', 'A', 'B-']","['CCC323', 'CCC101']","['B', 'A-']","['CCC411', 'CCC810']","['B', 'C']",,,,,,,,
17,School of Engineering,CSD,2014,"['CCC704', 'CCC317', 'CCC801', 'CCC211', 'CCC407', 'CCC319']","['D', 'B-', 'B', 'D', 'C-', 'A']","['CCC217', 'CCC103']","['A-', 'A-']",['CCC512'],['C'],['CCC823'],['C-'],,,,,,,,
18,School of Humanities & Soc Sci,ENG,2014,"['CCC704', 'CCC704']","['F', 'F']","['CCC704', 'CCC302', 'CCC326', 'CCC801']","['D', 'A-', 'B', 'C']",,,,,,,,,,,,
19,School of Engineering,CSD,2014,['CCC704'],['C'],"['CCC402', 'CCC101']","['B', 'B-']","['CCC612', 'CCC806']","['A-', 'C']","['CCC613', 'CCC813', 'CCC510']","['C', 'A-', 'A']","['CCC323', 'CCC222', 'CCC319']","['A-', 'D', 'D']",['CCC206'],['A-'],,,,
20,School of Engineering,ECE,2014,['CCC704'],['C-'],"['CCC302', 'CCC411']","['B', 'B-']",['CCC806'],['C-'],"['CCC801', 'CCC410']","['B-', 'D']",['CCC221'],['F'],"['CCC512', 'CCC611', 'CCC402', 'CCC109']","['C', 'F', 'F', 'F']",,,,
21,School of Humanities & Soc Sci,SOC,2014,['CCC704'],['D'],['CCC402'],['F'],"['CCC103', 'CCC314']","['W', 'W']","['CCC622', 'CCC818']","['W', 'W']","['CCC114', 'CCC330', 'CCC613']","['B-', 'A', 'F']","['CCC229', 'CCC319', 'CCC711', 'CCC416', 'CCC228']","['B', 'B', 'C', 'B-', 'A-']",,,,
22,School of Humanities & Soc Sci,ENG,2014,['CCC704'],['B-'],"['CCC602', 'CCC402']","['B', 'B']","['CCC604', 'CCC801']","['C-', 'B-']","['CCC813', 'CCC319', 'CCC409']","['B-', 'B-', 'B']",['CCC103'],['B'],['CCC217'],['A-'],,,,
23,School of Humanities & Soc Sci,SOC,2014,['CCC704'],['C'],"['CCC608', 'CCC501', 'CCC412']","['D', 'F', 'D']",['CCC512'],['B-'],"['CCC113', 'CCC225', 'CCC103']","['A-', 'A-', 'B-']",,,,,,,,
24,School of Engineering,EED,2014,['CCC704'],['B-'],"['CCC801', 'CCC302']","['A', 'B-']","['CCC611', 'CCC318']","['B', 'A-']","['CCC402', 'CCC510', 'CCC413']","['B-', 'A', 'B-']",,,,,,,,
25,School of Engineering,CSD,2014,['CCC704'],['B-'],['CCC402'],['A-'],"['CCC612', 'CCC805']","['C-', 'A-']","['CCC816', 'CCC510']","['A-', 'A']","['CCC323', 'CCC319', 'CCC214']","['B-', 'C', 'F']","['CCC810', 'CCC512', 'CCC206']","['C-', 'B-', 'A']",,,,
26,School of Engineering,CSD,2014,['CCC704'],['B-'],"['CCC302', 'CCC402']","['B', 'B']","['CCC612', 'CCC409', 'CCC813']","['C-', 'B', 'A-']","['CCC816', 'CCC214', 'CCC319']","['A-', 'B', 'B']",['CCC112'],['C-'],['CCC510'],['C-'],['CCC821'],['C'],['CCC416'],['B-']
27,School of Engineering,CSD,2014,['CCC704'],['C'],"['CCC302', 'CCC409']","['B', 'B']","['CCC402', 'CCC805', 'CCC323', 'CCC602']","['B-', 'A-', 'A-', 'B']","['CCC411', 'CCC810']","['B', 'C-']",,,,,,,,
28,School of Engineering,ECE,2014,"['CCC704', 'CCC318', 'CCC402']","['C', 'A-', 'B']","['CCC813', 'CCC411', 'CCC606', 'CCC611']","['B', 'D', 'D', 'B-']",,,,,,,,,,,,
29,School of Natural Sciences,PHY,2014,['CCC602'],['C-'],['CCC704'],['C-'],"['CCC801', 'CCC402', 'CCC409', 'CCC224', 'CCC222', 'CCC323']","['C-', 'B-', 'B', 'A-', 'D', 'A-']","['CCC512', 'CCC109']","['B-', 'F']",,,,,,,,
30,School of Engineering,CED,2014,['CCC606'],['B-'],"['CCC704', 'CCC608', 'CCC801']","['C', 'B', 'B-']","['CCC222', 'CCC103', 'CCC327', 'CCC822']","['C', 'C-', 'C', 'A-']","['CCC510', 'CCC115']","['D', 'A']",,,,,,,,
31,School of Humanities & Soc Sci,ENG,2014,"['CCC402', 'CCC302']","['B-', 'A']",['CCC704'],['C-'],"['CCC318', 'CCC211']","['A', 'W']","['CCC411', 'CCC815']","['W', 'W']","['CCC314', 'CCC110']","['B', 'A']","['CCC224', 'CCC217', 'CCC512', 'CCC229']","['A-', 'A-', 'B-', 'B-']",,,,
32,School of Engineering,MED,2014,"['CCC801', 'CCC302', 'CCC402', 'CCC409', 'CCC810', 'CCC801']","['F', 'F', 'F', 'B-', 'D', 'B-']",['CCC704'],['C-'],['CCC319'],['C'],"['CCC623', 'CCC415', 'CCC512']","['C', 'B-', 'B-']","['CCC624', 'CCC228']","['F', 'F']","['CCC330', 'CCC103']","['F', 'B-']",,,,
33,School of Natural Sciences,PHY,2014,"['CCC409', 'CCC402']","['B-', 'B-']",['CCC704'],['F'],"['CCC704', 'CCC805', 'CCC323']","['C-', 'A-', 'A-']","['CCC611', 'CCC103', 'CCC319']","['A-', 'A', 'A-']","['CCC822', 'CCC512']","['C', 'C-']","['CCC414', 'CCC227']","['A-', 'B-']",,,,
34,School of Engineering,CSD,2014,"['CCC807', 'CCC406', 'CCC409']","['F', 'F', 'B']",['CCC302'],['A-'],"['CCC222', 'CCC224']","['D', 'C']","['CCC704', 'CCC414', 'CCC606']","['B-', 'A', 'C-']","['CCC311', 'CCC512', 'CCC801', 'CCC330']","['B', 'B', 'B-', 'C']",,,,,,
35,School of Engineering,MED,2014,"['CCC402', 'CCC801']","['C', 'D']",,,,,,,,,,,,,,
36,School of Humanities & Soc Sci,SOC,2014,"['CCC809', 'CCC406']","['B-', 'F']","['CCC704', 'CCC402']","['C-', 'F']",,,,,,,,,,,,
37,School of Engineering,MED,2015,"['CCC809', 'CCC805', 'CCC302', 'CCC412', 'CCC402']","['A', 'A', 'A-', 'B-', 'B']","['CCC704', 'CCC414']","['B-', 'A-']","['CCC329', 'CCC103']","['B-', 'C']","['CCC711', 'CCC319']","['B', 'A-']",,,,,,,,
38,School of Engineering,ECE,2015,['CCC704'],['C'],"['CCC402', 'CCC801', 'CCC302']","['A-', 'A-', 'A-']","['CCC512', 'CCC602', 'CCC412']","['C-', 'A', 'A-']","['CCC312', 'CCC612']","['B', 'B']",['CCC103'],['A'],['CCC319'],['B'],,,,
39,School of Natural Sciences,MAT,2015,['CCC510'],['B'],"['CCC704', 'CCC302']","['B-', 'A']","['CCC322', 'CCC402']","['A-', 'B']","['CCC409', 'CCC109', 'CCC415', 'CCC606']","['B', 'B-', 'B-', 'A-']",,,,,,,,
40,School of Engineering,CED,2015,"['CCC302', 'CCC402']","['A', 'B-']",['CCC704'],['B'],"['CCC221', 'CCC314']","['B-', 'A-']","['CCC609', 'CCC225']","['A-', 'A-']","['CCC412', 'CCC822']","['B', 'A-']","['CCC711', 'CCC416']","['A-', 'B-']",,,,
41,School of Engineering,EED,2015,"['CCC302', 'CCC704']","['B', 'C']","['CCC410', 'CCC402']","['A', 'A']","['CCC323', 'CCC215']","['A-', 'C']","['CCC614', 'CCC414']","['A-', 'A']","['CCC114', 'CCC624']","['B', 'A-']","['CCC823', 'CCC416']","['B', 'A']",,,,
42,School of Engineering,EED,2015,['CCC704'],['A'],"['CCC402', 'CCC302', 'CCC801']","['A-', 'A', 'A']","['CCC323', 'CCC602', 'CCC817']","['A', 'A-', 'B-']","['CCC622', 'CCC214', 'CCC606']","['A-', 'B', 'B']","['CCC625', 'CCC624']","['A', 'A-']",['CCC823'],['B-'],,,,
43,School of Humanities & Soc Sci,ENG,2015,['CCC510'],['C'],['CCC704'],['B'],"['CCC323', 'CCC414']","['A-', 'A-']","['CCC114', 'CCC402']","['B', 'C']","['CCC822', 'CCC329']","['C', 'A-']","['CCC331', 'CCC330']","['F', 'A-']",,,,
44,School of Engineering,ECE,2015,"['CCC704', 'CCC215', 'CCC402']","['B', 'C', 'A']","['CCC326', 'CCC801']","['B', 'B']","['CCC512', 'CCC103']","['B', 'A-']","['CCC330', 'CCC602']","['A', 'A-']",,,,,,,,
45,School of Engineering,CSD,2015,"['CCC510', 'CCC302']","['A-', 'A-']","['CCC704', 'CCC814']","['B', 'A-']","['CCC617', 'CCC402']","['A', 'B']","['CCC805', 'CCC214']","['B-', 'F']","['CCC228', 'CCC626']","['A-', 'B-']","['CCC821', 'CCC319', 'CCC103']","['A', 'A-', 'A']",,,,
46,School of Humanities & Soc Sci,ECO,2015,"['CCC510', 'CCC302']","['B', 'A-']","['CCC704', 'CCC815', 'CCC412']","['C', 'B', 'B']","['CCC817', 'CCC311']","['B', 'A']",['CCC113'],['A-'],['CCC402'],['B'],['CCC330'],['A'],,,,
47,School of Engineering,ECE,2015,['CCC704'],['B-'],"['CCC501', 'CCC407', 'CCC302']","['C-', 'B-', 'A-']","['CCC323', 'CCC319', 'CCC613', 'CCC817', 'CCC801']","['A-', 'B', 'A-', 'B', 'A']","['CCC602', 'CCC206', 'CCC818']","['A-', 'B-', 'B']",,,,,,,,
48,School of Engineering,MED,2015,"['CCC302', 'CCC801']","['A-', 'C']",['CCC704'],['B-'],"['CCC402', 'CCC614', 'CCC602']","['B', 'B', 'B']","['CCC323', 'CCC214']","['B', 'A-']","['CCC228', 'CCC103']","['F', 'C']",['CCC510'],['A-'],,,,
49,School of Engineering,MED,2015,"['CCC302', 'CCC801']","['A-', 'B']","['CCC814', 'CCC704']","['A-', 'B']","['CCC311', 'CCC319']","['A', 'A-']","['CCC113', 'CCC226']","['B', 'C']",['CCC413'],['B'],['CCC312'],['A'],,,,
50,School of Engineering,CSD,2015,"['CCC510', 'CCC302']","['A', 'A']","['CCC704', 'CCC412']","['A', 'B']",['CCC402'],['A'],['CCC805'],['A-'],"['CCC626', 'CCC512']","['A', 'C']",['CCC416'],['A'],,,,
51,School of Engineering,CED,2015,"['CCC302', 'CCC402', 'CCC311', 'CCC801', 'CCC704']","['A', 'A-', 'B', 'C', 'B-']","['CCC113', 'CCC621']","['B', 'A']","['CCC411', 'CCC103']","['B', 'C']",['CCC602'],['B'],,,,,,,,
52,School of Engineering,CSD,2015,"['CCC302', 'CCC510']","['A', 'A-']","['CCC412', 'CCC409', 'CCC704']","['A', 'A-', 'B-']","['CCC215', 'CCC801']","['A-', 'A']","['CCC319', 'CCC415', 'CCC103', 'CCC512']","['B', 'A', 'A', 'B-']","['CCC114', 'CCC402']","['B', 'A']","['CCC805', 'CCC629']","['A-', 'A']",,,,
53,School of Engineering,MED,2015,"['CCC412', 'CCC302']","['B-', 'A-']","['CCC704', 'CCC815']","['B', 'A-']","['CCC323', 'CCC801']","['A-', 'B']",['CCC510'],['A-'],"['CCC103', 'CCC413']","['B', 'B']","['CCC805', 'CCC319']","['A', 'B-']",,,,
54,School of Engineering,EED,2015,['CCC704'],['B-'],"['CCC412', 'CCC402']","['B-', 'B']",['CCC805'],['C'],"['CCC319', 'CCC621']","['B', 'B-']","['CCC103', 'CCC407']","['A', 'A-']",['CCC602'],['B'],,,,
55,School of Engineering,CSD,2015,['CCC510'],['B'],"['CCC412', 'CCC302', 'CCC704']","['B-', 'A', 'B-']",['CCC402'],['B-'],['CCC801'],['B-'],"['CCC228', 'CCC114']","['C', 'C-']","['CCC103', 'CCC319']","['F', 'D']",,,,
56,School of Engineering,CSD,2015,['CCC510'],['F'],['CCC704'],['F'],,,,,,,,,,,,
57,School of Engineering,MED,2015,"['CCC801', 'CCC302', 'CCC224', 'CCC704']","['B-', 'A-', 'C', 'B-']","['CCC319', 'CCC623', 'CCC415', 'CCC402']","['B', 'A-', 'B', 'B-']",['CCC515'],['B'],,,,,,,,,,
58,School of Natural Sciences,BIO,2015,"['CCC302', 'CCC704']","['A', 'B']","['CCC311', 'CCC611', 'CCC402', 'CCC409']","['A-', 'B', 'B', 'A-']","['CCC103', 'CCC414']","['A-', 'A-']","['CCC416', 'CCC512']","['A-', 'A-']","['CCC711', 'CCC319']","['A-', 'A']",,,,,,
59,School of Engineering,CSD,2015,['CCC510'],['B-'],"['CCC704', 'CCC312', 'CCC412']","['C', 'A-', 'D']",['CCC402'],['A-'],"['CCC311', 'CCC805']","['A', 'A']",['CCC114'],['B'],['CCC602'],['B'],,,,
60,School of Engineering,ECE,2015,"['CCC704', 'CCC302']","['C', 'B']","['CCC402', 'CCC407']","['A-', 'B-']","['CCC801', 'CCC512']","['B', 'C']",['CCC612'],['A-'],"['CCC515', 'CCC103']","['A', 'C']",['CCC510'],['A-'],,,,
61,School of Engineering,MED,2015,"['CCC302', 'CCC801']","['A-', 'C']","['CCC407', 'CCC704']","['B-', 'B']","['CCC319', 'CCC402']","['C-', 'B']","['CCC606', 'CCC614', 'CCC801', 'CCC103']","['A-', 'B', 'B', 'A-']",['CCC411'],['A-'],"['CCC510', 'CCC805', 'CCC602']","['A-', 'A-', 'B']",,,,
62,School of Humanities & Soc Sci,ECO,2015,['CCC704'],['B-'],"['CCC412', 'CCC302']","['B-', 'A-']","['CCC314', 'CCC322']","['B', 'C-']",['CCC814'],['F'],"['CCC114', 'CCC512']","['D', 'F']","['CCC228', 'CCC801', 'CCC512']","['A', 'C-', 'D']",,,,
63,School of Engineering,CED,2015,"['CCC801', 'CCC302']","['B', 'A-']","['CCC704', 'CCC407']","['C', 'D']","['CCC512', 'CCC602', 'CCC412']","['F', 'B-', 'D']","['CCC510', 'CCC621']","['A', 'B']","['CCC103', 'CCC402']","['C', 'B']",['CCC805'],['C-'],,,,
64,School of Humanities & Soc Sci,ECO,2015,['CCC510'],['A-'],"['CCC815', 'CCC704']","['B', 'B-']","['CCC617', 'CCC402']","['A-', 'A']","['CCC226', 'CCC609']","['B', 'B-']","['CCC227', 'CCC115']","['B', 'B']",['CCC711'],['B'],,,,
65,School of Engineering,ECE,2015,['CCC704'],['C'],"['CCC413', 'CCC805', 'CCC302']","['B', 'B', 'A-']","['CCC801', 'CCC402', 'CCC512']","['C', 'A-', 'B']","['CCC612', 'CCC319', 'CCC606']","['B', 'B', 'A-']","['CCC624', 'CCC103', 'CCC611']","['A-', 'C', 'B']",['CCC602'],['B'],,,,
66,School of Engineering,ECE,2015,['CCC704'],['A-'],"['CCC813', 'CCC402', 'CCC302']","['A-', 'A', 'A-']","['CCC805', 'CCC103', 'CCC512', 'CCC323']","['B', 'A', 'B', 'A']","['CCC319', 'CCC621']","['A', 'A-']",,,,,,,,
67,School of Engineering,CSD,2015,['CCC510'],['A'],['CCC704'],['A'],['CCC617'],['A'],"['CCC805', 'CCC311']","['A-', 'A']","['CCC822', 'CCC312', 'CCC227', 'CCC626']","['A', 'A-', 'A-', 'A']",['CCC229'],['A'],,,,
68,School of Natural Sciences,MAT,2015,['CCC510'],['C'],"['CCC815', 'CCC704']","['B-', 'B']","['CCC402', 'CCC617']","['A', 'A']","['CCC319', 'CCC612', 'CCC414']","['A-', 'B', 'A']","['CCC114', 'CCC624', 'CCC101']","['C', 'A-', 'A-']","['CCC602', 'CCC805', 'CCC416']","['C', 'C-', 'B-']",,,,
69,School of Engineering,EED,2015,['CCC704'],['B-'],"['CCC410', 'CCC513']","['A-', 'B']","['CCC512', 'CCC817']","['C', 'B-']",['CCC621'],['B-'],"['CCC416', 'CCC412', 'CCC329', 'CCC103']","['A', 'A', 'B-', 'A']","['CCC516', 'CCC502']","['A-', 'B']",,,,
70,School of Engineering,ECE,2015,"['CCC302', 'CCC704']","['A-', 'B']","['CCC402', 'CCC510', 'CCC613']","['B', 'A', 'A-']","['CCC409', 'CCC323', 'CCC817']","['A-', 'A-', 'B']","['CCC818', 'CCC623']","['C-', 'B']",,,,,,,,
71,School of Engineering,MED,2015,"['CCC302', 'CCC402', 'CCC323', 'CCC617']","['B', 'B', 'A-', 'A-']","['CCC704', 'CCC319']","['B', 'B']",['CCC114'],['C-'],"['CCC103', 'CCC331']","['B', 'C']",,,,,,,,
72,School of Engineering,CSD,2015,['CCC704'],['C'],"['CCC413', 'CCC407', 'CCC302']","['A-', 'A-', 'A']","['CCC323', 'CCC801', 'CCC215']","['A', 'A-', 'C']","['CCC621', 'CCC510', 'CCC629']","['B', 'A', 'B']",,,,,,,,
73,School of Natural Sciences,BIO,2015,"['CCC222', 'CCC409', 'CCC402']","['C-', 'A-', 'A']","['CCC805', 'CCC704']","['A-', 'B-']","['CCC329', 'CCC114']","['A-', 'B']",['CCC319'],['B'],,,,,,,,
74,School of Engineering,ECE,2015,['CCC704'],['C-'],"['CCC402', 'CCC816']","['C-', 'A-']",['CCC801'],['C-'],['CCC414'],['A-'],"['CCC512', 'CCC626']","['B', 'B']",['CCC805'],['B'],,,,
75,School of Engineering,CSD,2015,"['CCC510', 'CCC302']","['C', 'B-']","['CCC218', 'CCC704', 'CCC112']","['C', 'A-', 'D']",['CCC101'],['A-'],"['CCC819', 'CCC214']","['B', 'B-']","['CCC626', 'CCC411', 'CCC103']","['A', 'A', 'C']","['CCC801', 'CCC805']","['B', 'B']",,,,
76,School of Engineering,CSD,2015,"['CCC510', 'CCC412']","['C', 'B-']","['CCC302', 'CCC704']","['A-', 'B']","['CCC402', 'CCC805']","['A', 'B-']","['CCC114', 'CCC623', 'CCC819']","['A', 'A', 'A-']","['CCC312', 'CCC329', 'CCC626']","['A', 'A', 'A']",['CCC629'],['A'],,,,
77,School of Engineering,ECE,2015,"['CCC302', 'CCC704']","['A-', 'B']","['CCC319', 'CCC410', 'CCC402']","['A-', 'B', 'A-']","['CCC801', 'CCC222']","['B-', 'A-']","['CCC512', 'CCC805', 'CCC103']","['B-', 'A-', 'A']",['CCC227'],['B'],"['CCC510', 'CCC602']","['A', 'A-']",,,,
78,School of Engineering,ECE,2015,['CCC704'],['C-'],"['CCC413', 'CCC302', 'CCC402']","['C', 'B', 'C']","['CCC602', 'CCC512']","['B-', 'C']","['CCC612', 'CCC414', 'CCC319']","['C', 'A', 'B']",,,,,,,,
79,School of Engineering,MED,2015,"['CCC302', 'CCC801']","['A-', 'B-']",['CCC704'],['B'],"['CCC319', 'CCC103']","['B-', 'A']","['CCC217', 'CCC323']","['B', 'A']","['CCC327', 'CCC402']","['A', 'A-']","['CCC330', 'CCC629', 'CCC805', 'CCC602']","['B', 'B-', 'A', 'B-']",,,,
80,School of Engineering,ECE,2015,['CCC704'],['C'],"['CCC302', 'CCC816']","['A-', 'A-']","['CCC402', 'CCC617']","['A', 'A-']","['CCC510', 'CCC612']","['C', 'B']","['CCC626', 'CCC821']","['A', 'B']",['CCC805'],['B-'],,,,
81,School of Engineering,ECE,2015,"['CCC412', 'CCC704']","['B', 'B']","['CCC801', 'CCC510', 'CCC402']","['A-', 'A', 'A']","['CCC101', 'CCC221', 'CCC617']","['A-', 'C', 'A']","['CCC805', 'CCC615']","['A', 'C']",,,,,,,,
82,School of Natural Sciences,CHY,2015,['CCC510'],['C'],"['CCC704', 'CCC815']","['A-', 'A-']","['CCC223', 'CCC319']","['A-', 'A']","['CCC609', 'CCC415']","['B-', 'A-']","['CCC227', 'CCC327']","['A', 'A-']",['CCC416'],['A'],,,,
83,School of Engineering,MED,2015,"['CCC801', 'CCC302']","['B-', 'A-']","['CCC407', 'CCC704']","['B', 'A']","['CCC402', 'CCC414']","['A-', 'A-']","['CCC103', 'CCC319']","['A-', 'A']",['CCC627'],['A-'],['CCC602'],['A-'],,,,
84,School of Engineering,MED,2015,"['CCC801', 'CCC302']","['B', 'B-']",['CCC704'],['A'],"['CCC412', 'CCC805', 'CCC323']","['C', 'C', 'B']","['CCC402', 'CCC225']","['B', 'C']",['CCC103'],['B'],['CCC510'],['A-'],,,,
85,School of Engineering,EED,2015,"['CCC704', 'CCC222', 'CCC402', 'CCC302']","['D', 'D', 'A', 'A-']","['CCC113', 'CCC704']","['B', 'C-']","['CCC327', 'CCC613']","['B', 'B-']","['CCC331', 'CCC416']","['B-', 'B']",,,,,,,,
86,School of Engineering,CSD,2015,"['CCC302', 'CCC510']","['A-', 'C']","['CCC704', 'CCC814']","['B', 'B']",['CCC402'],['B'],"['CCC411', 'CCC217', 'CCC325']","['B-', 'A-', 'B']",,,,,,,,
87,School of Engineering,MED,2015,"['CCC302', 'CCC801']","['B', 'B-']","['CCC412', 'CCC704']","['B-', 'B-']","['CCC402', 'CCC221']","['B-', 'B-']","['CCC618', 'CCC226']","['D', 'C']","['CCC103', 'CCC624', 'CCC515']","['A', 'A-', 'B']",['CCC510'],['A-'],,,,
88,School of Engineering,MED,2015,"['CCC302', 'CCC412']","['A', 'C']",['CCC704'],['B'],"['CCC221', 'CCC805']","['B', 'B-']","['CCC319', 'CCC225', 'CCC103', 'CCC810']","['A-', 'A-', 'B', 'B']","['CCC402', 'CCC626', 'CCC801']","['A-', 'B-', 'A-']",['CCC510'],['A'],,,,
89,School of Engineering,MED,2015,"['CCC302', 'CCC801', 'CCC402', 'CCC101', 'CCC323']","['A-', 'B', 'A-', 'A', 'A-']","['CCC704', 'CCC319']","['B', 'B-']","['CCC329', 'CCC103', 'CCC626', 'CCC411']","['A-', 'C', 'B', 'B-']","['CCC510', 'CCC805']","['A-', 'B']",,,,,,,,
90,School of Engineering,ECE,2015,"['CCC302', 'CCC704']","['B', 'B']",['CCC510'],['A'],"['CCC617', 'CCC402', 'CCC323', 'CCC801']","['A', 'A', 'A-', 'A']","['CCC103', 'CCC623']","['A-', 'A-']","['CCC624', 'CCC821']","['A-', 'B']",['CCC602'],['A-'],,,,
91,School of Engineering,CSD,2015,['CCC510'],['B'],['CCC704'],['B-'],['CCC402'],['A'],"['CCC622', 'CCC819']","['A-', 'A-']",['CCC515'],['B-'],['CCC805'],['A-'],,,,
92,School of Engineering,MED,2015,"['CCC302', 'CCC801']","['B', 'B-']",['CCC704'],['A'],"['CCC817', 'CCC412']","['B-', 'C-']","['CCC402', 'CCC323', 'CCC805']","['B', 'A', 'A']",['CCC103'],['A'],"['CCC502', 'CCC319', 'CCC516']","['B-', 'B-', 'B']",,,,
93,School of Engineering,CHD,2015,"['CCC302', 'CCC510']","['A-', 'A-']",['CCC704'],['B-'],"['CCC402', 'CCC322']","['A', 'A-']","['CCC414', 'CCC810', 'CCC612']","['B', 'A-', 'B']","['CCC418', 'CCC412', 'CCC411', 'CCC103']","['B-', 'A', 'B', 'A']",['CCC615'],['B-'],,,,
94,School of Engineering,ECE,2015,['CCC704'],['B-'],"['CCC302', 'CCC801']","['A-', 'A-']","['CCC319', 'CCC103']","['A-', 'A']","['CCC402', 'CCC621']","['B', 'B-']","['CCC412', 'CCC624', 'CCC626']","['B', 'A', 'A']","['CCC602', 'CCC629']","['A-', 'A']",,,,
