,School,Major,Batch,Sem1_courses,Sem1_grades,Sem2_courses,Sem2_grades,Sem3_courses,Sem3_grades,Sem4_courses,Sem4_grades,Sem5_courses,Sem5_grades,Sem6_courses,Sem6_grades,Sem7_courses,Sem7_grades,Sem8_courses,Sem8_grades
10,School of Engineering,MED,2014,['CCC704'],['C-'],['PHY102'],['C-'],"['CCC402', 'CCC319']","['A-', 'D']","['SOC214', 'CCC413', 'ART101', 'CCC814', 'CCC218']","['F', 'C', 'B', 'F', 'F']","['CCC103', 'CCC222', 'CCC112', 'CCC214']","['C-', 'F', 'F', 'C-']","['CHD262', 'COM198', 'CCC225', 'OHM401']","['F', 'B-', 'C', 'B']",,,,
11,School of Engineering,CSD,2014,"['CCC704', 'MKT101', 'CCC302', 'CCC215']","['C', 'F', 'C', 'C-']","['CCC816', 'CCC608', 'CCC407', 'CCC413']","['B', 'B', 'F', 'B']","['CCC224', 'CCC805', 'CCC414', 'ENG401', 'ENG301', 'ENG104']","['B-', 'C', 'A-', 'A-', 'B', 'B-']","['CCC623', 'CCC217']","['C-', 'B']","['CCC409', 'ENG443']","['B-', 'F']","['ENG444', 'MAT283']","['B-', 'F']",,,,
12,School of Humanities & Soc Sci,ECO,2014,"['CCC704', 'ENG110']","['C-', 'C']","['CCC403', 'CCC509', 'ENG109', 'ENG411', 'MAT084', 'CCC411', 'MKT201', 'CCC816', 'CCC218', 'CCC514']","['B', 'C', 'B', 'D', 'C-', 'D', 'D', 'F', 'F', 'C-']",,,,,,,,,,,,
13,School of Natural Sciences,PHY,2014,['CCC704'],['D'],"['MAT260', 'CCC402']","['F', 'A-']",['CED202'],['C-'],"['MAT434', 'CCC414', 'ECO101', 'CCC229']","['B', 'A-', 'F', 'B']",,,,,,,,
14,School of Engineering,CSD,2014,['CCC704'],['F'],['CCC704'],['C-'],"['CCC202', 'CCC402']","['A', 'D']","['CCC214', 'CCC103', 'SOC103']","['B', 'F', 'C']",['SOC113'],['C-'],"['CCC326', 'CCC609']","['B', 'D']","['CCC515', 'MAT484', 'IRG206', 'CCC327']","['B', 'A-', 'B', 'A']","['MAT434', 'CCC331', 'CCC302', 'IRG203']","['A', 'B-', 'B', 'C']"
15,School of Engineering,CSD,2014,['CCC704'],['D'],"['CCC315', 'CCC409']","['B', 'B']","['CCC801', 'CCC604']","['A-', 'B-']","['CCC510', 'CCC816', 'MAT280', 'ART101']","['A-', 'B', 'F', 'B-']","['CCC614', 'CCC314', 'MAT430', 'CCC214', 'CCC402']","['F', 'C', 'D', 'C', 'C']",['CCC326'],['F'],,,,
16,School of Engineering,CSD,2014,"['CCC704', 'CCC402', 'CCC604']","['D', 'B', 'B-']","['MAT260', 'CCC319', 'MAT284', 'CCC813', 'CCC801']","['B', 'B', 'B', 'A', 'B-']","['CCC323', 'MAT386', 'MAT430', 'CCC101']","['B', 'B-', 'B-', 'A-']","['MAT280', 'CCC411', 'CCC810']","['C-', 'B', 'C']",,,,,,,,
17,School of Engineering,CSD,2014,"['CCC704', 'CCC317', 'CCC801', 'CCC211']","['D', 'B-', 'B', 'D']",['MAT260'],['F'],"['CCC407', 'CCC319', 'ENG401']","['C-', 'A', 'A-']","['ENG214', 'ENG326', 'CCC217', 'CCC103', 'ENG215']","['B', 'A-', 'A-', 'A-', 'W']","['CCC512', 'ENG342', 'ENG104']","['C', 'B', 'F']",['CCC823'],['C-'],,,,
18,School of Humanities & Soc Sci,ENG,2014,"['CCC704', 'PHY103', 'PHY105', 'MAT101', 'CHY111', 'CCC704']","['F', 'D', 'F', 'C', 'D', 'F']","['PHY104', 'PHY106', 'MAT102', 'CCC704']","['D', 'F', 'C', 'D']","['PHY201', 'PHY205', 'PHY203', 'PHY105']","['C', 'C', 'C', 'D']","['PHY202', 'PHY208', 'PHY206', 'PHY204']","['D', 'B-', 'F', 'D']","['PHY307', 'PHY303', 'PHY305', 'PHY301']","['W', 'W', 'W', 'W']","['CCC302', 'CCC326', 'CCC801']","['A-', 'B', 'C']",,,,
19,School of Engineering,CSD,2014,['CCC704'],['C'],"['CCC402', 'CCC101']","['B', 'B-']","['CCC612', 'CCC806']","['A-', 'C']","['CCC613', 'CCC813', 'MAT260', 'CCC510']","['C', 'A-', 'B-', 'A']","['CCC323', 'MAT386', 'CCC222', 'CCC319']","['A-', 'C', 'D', 'D']","['MAT388', 'CCC206']","['C', 'A-']",,,,
20,School of Engineering,ECE,2014,['CCC704'],['C-'],"['CCC302', 'CCC411']","['B', 'B-']",['CCC806'],['C-'],"['CCC801', 'CCC410']","['B-', 'D']",['CCC221'],['F'],"['CCC512', 'CCC611', 'CCC402', 'CCC109', 'MAT430']","['C', 'F', 'F', 'F', 'F']",,,,
21,School of Humanities & Soc Sci,SOC,2014,['CCC704'],['D'],"['ENG412', 'CCC402']","['F', 'F']",['ECO101'],['B-'],['ECO102'],['B'],"['ENG430', 'CCC103', 'CCC314']","['W', 'W', 'W']","['ENG109', 'CCC622', 'CCC818']","['W', 'W', 'W']","['CCC114', 'ENG341', 'OHM402', 'CCC330', 'ENG440', 'CCC613']","['B-', 'F', 'C', 'A', 'A-', 'F']","['ENG245', 'CCC229', 'ENG244', 'CCC319', 'CCC711', 'CCC416', 'CCC228']","['B-', 'B', 'B-', 'B', 'C', 'B-', 'A-']"
22,School of Humanities & Soc Sci,ENG,2014,"['MAT101', 'CCC704', 'PHY101', 'EED101', 'CSD101']","['C-', 'B-', 'B-', 'F', 'A-']","['MAT102', 'PHY102', 'CCC602', 'CSD201', 'EED201', 'CCC402']","['B-', 'B-', 'B', 'C', 'D', 'B']",['EED101'],['B'],"['CSD207', 'CCC604', 'CCC801', 'CSD206', 'CSD205', 'EED206']","['C-', 'C-', 'B-', 'D', 'D', 'C-']","['CSD202', 'CCC813', 'CCC319', 'CSD204', 'CSD208', 'CCC409']","['B-', 'B-', 'B-', 'C-', 'C', 'B']","['CSD304', 'CSD301', 'CSD307', 'CCC103']","['C-', 'C-', 'B', 'B']","['CCC217', 'CSD323', 'CSD428']","['A-', 'F', 'B']",['CCC327'],['A']
23,School of Humanities & Soc Sci,SOC,2014,['CCC704'],['C'],"['CCC608', 'ENG199']","['D', 'B']",['HIS105'],['B-'],"['CCC501', 'HIS208', 'CCC412']","['F', 'F', 'D']",['CCC512'],['B-'],"['ENG109', 'HIS208', 'CCC113', 'CCC225', 'CCC103']","['B-', 'B-', 'A-', 'A-', 'B-']","['CCC330', 'IRG208', 'CCC329', 'HIS311', 'ENG440', 'CCC114']","['A', 'A', 'C', 'A', 'A', 'B']","['OHM401', 'ENG444']","['C-', 'B']"
24,School of Engineering,EED,2014,['CCC704'],['B-'],"['CCC801', 'CCC302']","['A', 'B-']","['CCC611', 'CCC318']","['B', 'A-']","['MAT260', 'CCC402', 'CCC510', 'CCC413']","['A', 'B-', 'A', 'B-']","['CCC805', 'CCC101', 'MAT240']","['B-', 'B', 'F']","['MAT430', 'MAT433']","['C', 'A-']",,,,
25,School of Engineering,CSD,2014,['CCC704'],['B-'],['CCC402'],['A-'],"['CCC612', 'CCC805', 'OHM101']","['C-', 'A-', 'B']","['CCC816', 'CCC510', 'STM101', 'FAC101']","['A-', 'A', 'C-', 'B-']","['CCC323', 'DOM103', 'CCC319', 'CCC214']","['B-', 'C', 'C', 'F']","['CCC810', 'CCC512', 'MEC102', 'CCC206']","['C-', 'B-', 'B', 'A']","['MED309', 'CCC613', 'MKT202']","['C', 'D', 'B']",['OHM401'],['C-']
26,School of Engineering,CSD,2014,['CCC704'],['B-'],"['CCC302', 'CCC402']","['B', 'B']","['CCC612', 'CCC409', 'CCC813']","['C-', 'B', 'A-']","['CCC816', 'CCC214', 'CCC319', 'MAT260']","['A-', 'B', 'B', 'B']",['MED102'],['B'],"['CCC112', 'MED211']","['C-', 'F']","['CCC510', 'MAT388']","['C-', 'A-']","['MED309', 'CCC821']","['B-', 'C']"
27,School of Engineering,CSD,2014,"['CCC704', 'EED105']","['C', 'C-']","['CCC302', 'CCC409']","['B', 'B']",['EED105'],['A-'],"['CCC402', 'CCC805']","['B-', 'A-']",['EED202'],['B'],"['MED211', 'CCC323', 'CCC602', 'MAT430']","['D', 'A-', 'B', 'A-']","['CCC411', 'CCC810', 'MAT388']","['B', 'C-', 'A-']","['CCC416', 'CCC512', 'MED309']","['B', 'A-', 'B-']"
28,School of Engineering,ECE,2014,"['CCC704', 'CCC318', 'CCC402']","['C', 'A-', 'B']","['CCC813', 'ENG104', 'CCC411', 'CCC606', 'CCC611', 'MAT280']","['B', 'C', 'D', 'D', 'B-', 'D']",,,,,,,,,,,,
29,School of Natural Sciences,PHY,2014,['CCC602'],['C-'],['CCC704'],['C-'],"['CCC801', 'CCC402', 'CCC409']","['C-', 'B-', 'B']",['EED102'],['B-'],"['CCC224', 'CCC222', 'CCC323', 'MAT220']","['A-', 'D', 'A-', 'F']","['EED204', 'CCC512', 'CCC109']","['F', 'B-', 'F']",,,,
30,School of Engineering,CED,2014,['CCC606'],['B-'],"['CCC704', 'CCC608', 'CCC801']","['C', 'B', 'B-']","['CCC222', 'ENG304', 'CCC103', 'ENG110', 'MAT386', 'CCC327', 'CCC822', 'MAT284', 'ENG241']","['C', 'A-', 'C-', 'B', 'B', 'C', 'A-', 'C', 'B-']","['CCC510', 'CCC115']","['D', 'A']",,,,,,,,
31,School of Humanities & Soc Sci,ENG,2014,"['EED105', 'CCC402', 'PHY101', 'CCC302', 'MAT101', 'CSD101']","['B', 'B-', 'F', 'A', 'W', 'A']","['CSD201', 'EED101', 'MAT102', 'CCC704', 'PHY102']","['B-', 'D', 'W', 'C-', 'W']","['EED101', 'PHY101']","['B-', 'B-']","['EED201', 'MAT202', 'CCC318', 'EED202', 'EED206', 'CCC211']","['W', 'D', 'A', 'W', 'W', 'W']","['EED301', 'EED204', 'EED203', 'CCC411', 'EED205', 'CCC815']","['W', 'W', 'B', 'W', 'W', 'W']","['EED302', 'EED305', 'CCC314', 'CCC110', 'EED304', 'EED306']","['W', 'W', 'B', 'A', 'W', 'W']","['CCC224', 'CCC217', 'CCC512', 'CCC229', 'SOC221', 'SOC222']","['A-', 'A-', 'B-', 'B-', 'B', 'B']",,
32,School of Engineering,MED,2014,"['CCC801', 'CCC302', 'CCC402']","['F', 'F', 'F']",['PHY102'],['B'],,,,,,,,,,,,
33,School of Engineering,MED,2014,"['CCC409', 'CCC810']","['B-', 'D']",['PHY102'],['D'],['CCC801'],['B-'],['CCC704'],['C-'],['MAT201'],['B'],['CCC319'],['C'],"['ENG326', 'CCC623', 'CCC415', 'ENG112', 'CHD262', 'CCC512']","['A-', 'C', 'B-', 'D', 'F', 'B-']","['CCC624', 'ADP310', 'CCC228']","['F', 'B', 'F']"
34,School of Natural Sciences,PHY,2014,"['CCC409', 'CCC402']","['B-', 'B-']",['CCC704'],['F'],['CED202'],['B'],"['CCC704', 'MAT260', 'CCC805', 'CCC323']","['C-', 'D', 'A-', 'A-']","['CCC611', 'CCC103', 'SOC220', 'MAT110', 'SOC102', 'CCC319', 'IRG101']","['A-', 'A', 'B', 'C', 'C-', 'A-', 'C']","['CCC822', 'ENG341', 'CCC512', 'MAT431']","['C', 'A', 'C-', 'A-']","['CCC414', 'CCC227']","['A-', 'B-']",,
35,School of Engineering,CSD,2014,"['CCC807', 'CCC406', 'CCC409']","['F', 'F', 'B']","['ENG104', 'CCC302']","['D', 'A-']","['CCC222', 'CCC224', 'MAT284']","['D', 'C', 'D']","['CCC704', 'CCC414', 'CCC606']","['B-', 'A', 'C-']","['CCC311', 'CCC512', 'CCC801', 'DOM103', 'CCC330']","['B', 'B', 'B-', 'D', 'C']",,,,,,
36,School of Engineering,MED,2014,"['CCC402', 'PHY102', 'CCC801']","['C', 'F', 'D']",,,,,,,,,,,,,,
37,School of Humanities & Soc Sci,SOC,2014,"['CCC809', 'CCC406']","['B-', 'F']","['CCC704', 'ENG109', 'CCC402', 'HIS208']","['C-', 'B-', 'F', 'F']",,,,,,,,,,,,
38,School of Engineering,ECE,2014,"['CCC809', 'CCC805']","['A', 'A']",['STM101'],['D'],['ECO108'],['B'],"['HIS208', 'ENG104']","['F', 'F']",,,,,,,,
39,School of Engineering,MED,2015,"['CCC302', 'CCC412', 'MAT201']","['A-', 'B-', 'F']",['PHY102'],['C-'],"['CCC402', 'MAT201']","['B', 'D']","['CCC704', 'CCC414', 'CED308']","['B-', 'A-', 'C']","['CCC329', 'CED405', 'CCC103']","['B-', 'B-', 'C']","['CED307', 'CCC711', 'CCC319', 'ECO101']","['A-', 'B', 'A-', 'C-']",,,,
40,School of Engineering,ECE,2015,['CCC704'],['C'],"['CCC402', 'CCC801', 'CCC302']","['A-', 'A-', 'A-']","['CCC512', 'CCC602', 'CCC412', 'DES101']","['C-', 'A', 'A-', 'A-']","['CCC312', 'DES111', 'CCC612']","['B', 'B', 'B']","['CCC103', 'DES131']","['A', 'A-']","['DES121', 'CCC319']","['A-', 'B']",,,,
41,School of Natural Sciences,MAT,2015,['CCC510'],['B'],"['CCC704', 'ADP115', 'CCC302']","['B-', 'B', 'A']","['COM199', 'CCC322', 'CCC402']","['A-', 'A-', 'B']","['COM193', 'COM197', 'CCC409', 'CCC109', 'CCC415', 'CCC606', 'ADP100']","['B', 'A-', 'B', 'B-', 'B-', 'A-', 'B-']",,,,,,,,
42,School of Engineering,CED,2015,"['CCC302', 'CCC402']","['A', 'B-']",['CCC704'],['B'],"['CCC221', 'ENG104', 'CCC314']","['B-', 'B', 'A-']","['ENG327', 'CCC609', 'CCC225']","['B', 'A-', 'A-']","['CCC412', 'CCC822', 'ENG441', 'ENG241']","['B', 'A-', 'A', 'A-']","['CCC711', 'CCC416']","['A-', 'B-']",,,,
43,School of Engineering,EED,2015,"['CCC302', 'CCC704']","['B', 'C']","['CCC410', 'CCC402']","['A', 'A']","['CCC323', 'CCC215']","['A-', 'C']","['CCC614', 'PHY206', 'CCC414']","['A-', 'A-', 'A']","['CCC114', 'CCC624', 'HIS201']","['B', 'A-', 'B-']","['HIS206', 'PHY208', 'CCC823', 'CCC416']","['B', 'A-', 'B', 'A']",,,,
44,School of Engineering,EED,2015,['CCC704'],['A'],"['CCC402', 'CCC302', 'CCC801']","['A-', 'A', 'A']","['CSD207', 'CCC323', 'CCC602', 'CCC817']","['AP', 'A', 'A-', 'B-']","['CCC622', 'CCC214', 'CCC606', 'MAT386']","['A-', 'B', 'B', 'A']","['MAT160', 'CCC625', 'CCC624']","['B', 'A', 'A-']","['CCC823', 'MAT434']","['B-', 'A']",,,,
45,School of Humanities & Soc Sci,ENG,2015,['CCC510'],['C'],"['CCC704', 'HIS102']","['B', 'A-']","['CCC323', 'CSD101', 'CCC414']","['A-', 'F', 'A-']","['CCC114', 'CCC402', 'HIS320']","['B', 'C', 'F']","['CCC822', 'CCC329']","['C', 'A-']","['CCC331', 'SOC203', 'SOC321', 'CCC330', 'HIS104']","['F', 'D', 'D', 'A-', 'F']",,,,
46,School of Engineering,ECE,2015,"['CCC704', 'CCC215', 'ECO101', 'CCC402']","['B', 'C', 'C-', 'A']","['CCC326', 'ECO102', 'CCC801']","['B', 'A-', 'B']","['CCC512', 'CCC103', 'HIS203']","['B', 'A-', 'B-']","['HIS206', 'ECO101', 'CCC330', 'CCC602', 'ECO221']","['B', 'B', 'A', 'A-', 'B-']",,,,,,,,
47,School of Engineering,CSD,2015,"['CCC510', 'CCC302']","['A-', 'A-']","['CCC704', 'CCC814']","['B', 'A-']","['CCC617', 'CCC402', 'ECO101']","['A', 'B', 'B-']","['CCC805', 'CCC214']","['B-', 'F']","['OHM401', 'CCC228', 'CCC626', 'MAT280']","['A-', 'A-', 'B-', 'C']","['CCC821', 'CCC319', 'CCC103']","['A', 'A-', 'A']",,,,
48,School of Humanities & Soc Sci,ECO,2015,"['CCC510', 'CCC302']","['B', 'A-']","['CCC704', 'CCC815', 'CCC412']","['C', 'B', 'B']","['CCC817', 'CCC311']","['B', 'A']","['CCC113', 'IRG101', 'COM198']","['A-', 'C', 'C']","['COM199', 'MAT390', 'CCC402', 'COM197']","['B', 'D', 'B', 'A-']","['IRG204', 'CSD101', 'CCC330']","['B', 'D', 'A']",,,,
49,School of Engineering,ECE,2015,['CCC704'],['B-'],"['CCC501', 'CCC407', 'CCC302']","['C-', 'B-', 'A-']","['CSD207', 'CCC323', 'CCC319', 'CCC613', 'CCC817', 'CCC801']","['B-', 'A-', 'B', 'A-', 'B', 'A']","['CCC602', 'CCC206', 'CCC818', 'CED307', 'MED101']","['A-', 'B-', 'B', 'B', 'B-']",['CCC626'],['A-'],['IRG203'],['B'],,,,
50,School of Engineering,MED,2015,"['CCC302', 'MAT201', 'CCC801']","['A-', 'B-', 'C']","['PHY102', 'CCC704']","['A-', 'B-']","['CCC402', 'PHY207', 'CCC614', 'CCC602']","['B', 'A', 'B', 'B']","['PHY208', 'CCC323', 'CCC214', 'PHY202']","['A-', 'B', 'A-', 'C-']","['PHY301', 'CCC228', 'PHY201', 'CCC103']","['A-', 'F', 'A', 'C']","['PHY302', 'CCC510']","['AF', 'A-']",,,,
51,School of Engineering,MED,2015,"['MAT201', 'CCC302', 'CCC801']","['B', 'A-', 'B']","['CCC814', 'PHY102', 'CCC704']","['A-', 'C-', 'B']","['CCC311', 'DES101', 'CCC319']","['A', 'A-', 'A-']","['OHM203', 'CCC113', 'CCC226', 'DES111']","['A-', 'B', 'C', 'A-']","['DES131', 'IRG206', 'CCC413']","['A-', 'B', 'B']","['DES121', 'CCC312']","['A', 'A']",,,,
52,School of Engineering,CSD,2015,"['CCC510', 'CCC302']","['A', 'A']","['CCC704', 'CCC412']","['A', 'B']","['CCC402', 'ECO101']","['A', 'B']","['ECO102', 'CCC805']","['A', 'A-']","['ECO203', 'CCC626', 'CCC512', 'ECO301']","['A', 'A', 'C', 'A-']","['CCC416', 'ECO221']","['A', 'A']",,,,
53,School of Engineering,CED,2015,"['CCC302', 'CCC402', 'CCC311', 'CCC801', 'CCC704', 'ECO101']","['A', 'A-', 'B', 'C', 'B-', 'C']","['COM193', 'CCC113', 'CCC621']","['B', 'B', 'A']","['CCC411', 'ECO301', 'CCC103']","['B', 'C', 'C']","['CCC602', 'ECO327']","['B', 'A-']",,,,,,,,
54,School of Engineering,CSD,2015,"['CCC302', 'CCC510']","['A', 'A-']","['CCC412', 'CCC409', 'CCC704']","['A', 'A-', 'B-']","['BIO201', 'CCC215', 'CCC801']","['A', 'A-', 'A']","['CCC319', 'CCC415', 'CCC103', 'BIO310', 'CCC512']","['B', 'A', 'A', 'A', 'B-']","['CCC114', 'CCC402', 'OHM401', 'BIO202']","['B', 'A', 'A', 'B-']","['CCC805', 'BIO207', 'CCC629']","['A-', 'A-', 'A']",,,,
55,School of Engineering,MED,2015,"['MAT201', 'CCC412', 'CCC302']","['B', 'B-', 'A-']","['PHY102', 'CCC704', 'CCC815']","['B', 'B', 'A-']","['CCC323', 'CCC801', 'CSD201']","['A-', 'B', 'A-']","['MAT430', 'CCC510']","['B', 'A-']","['CCC103', 'CCC413', 'CHD213']","['B', 'B', 'B-']","['ECO101', 'CCC805', 'CCC319', 'OHM401']","['A-', 'A', 'B-', 'A-']",,,,
56,School of Engineering,EED,2015,['CCC704'],['B-'],"['CCC412', 'CCC402']","['B-', 'B']",['CCC805'],['C'],"['MAT084', 'CCC319', 'CCC621']","['D', 'B', 'B-']","['CED206', 'CCC103', 'CCC407']","['B-', 'A', 'A-']","['OHM401', 'CCC602', 'CED308']","['B', 'B', 'B']",,,,
57,School of Engineering,CSD,2015,['CCC510'],['B'],"['CCC412', 'CCC302', 'CCC704']","['B-', 'A', 'B-']","['ECO101', 'CCC402']","['B-', 'B-']","['CCC801', 'ECO102']","['B-', 'B']","['CCC228', 'ECO301', 'ECO354', 'ECO203', 'CCC114']","['C', 'B', 'B', 'C', 'C-']","['CCC103', 'CCC319']","['F', 'D']",,,,
58,School of Engineering,CSD,2015,['CCC510'],['F'],['CCC704'],['F'],,,,,,,,,,,,
59,School of Engineering,MED,2015,"['MAT201', 'CCC801', 'CCC302']","['C-', 'B-', 'A-']",['PHY102'],['C'],"['CCC224', 'ECO101', 'CCC704']","['C', 'D', 'B-']","['CCC319', 'ECO102', 'CCC623', 'CCC415', 'CCC402']","['B', 'B', 'A-', 'B', 'B-']","['CCC515', 'ECO301']","['B', 'C-']",,,,,,
60,School of Natural Sciences,BIO,2015,"['CCC302', 'CCC704']","['A', 'B']","['CCC311', 'CCC611', 'CCC402', 'ENG110', 'CCC409']","['A-', 'B', 'B', 'B', 'A-']","['CCC103', 'CCC414', 'COM193']","['A-', 'A-', 'A-']","['CCC416', 'CCC512', 'COM199']","['A-', 'A-', 'A-']","['CCC711', 'COM197', 'CCC319']","['A-', 'A-', 'A']",,,,,,
61,School of Engineering,CSD,2015,['CCC510'],['B-'],"['CCC704', 'CCC312', 'CCC412']","['C', 'A-', 'D']","['ECO101', 'CCC402']","['C-', 'A-']","['CCC311', 'CCC805', 'ECO102']","['A', 'A', 'A-']","['ECO203', 'ECO301', 'CCC114']","['B', 'B-', 'B']","['ECO221', 'CCC602']","['A', 'B']",,,,
62,School of Engineering,ECE,2015,"['CCC704', 'CCC302']","['C', 'B']","['CCC402', 'CCC407']","['A-', 'B-']","['CCC801', 'CCC512', 'ECO101']","['B', 'C', 'C']","['ISM101', 'CCC612']","['B', 'A-']","['CED405', 'CCC515', 'CCC103']","['A-', 'A', 'C']","['CCC510', 'OHM401', 'CED308']","['A-', 'A-', 'A']",,,,
63,School of Engineering,MED,2015,"['CCC302', 'MAT201', 'CCC801']","['A-', 'B-', 'C']","['CCC407', 'CCC704', 'PHY102']","['B-', 'B', 'C']","['EED201', 'CCC319', 'CCC402']","['C', 'C-', 'B']","['CCC606', 'CCC614', 'CCC801', 'CCC103']","['A-', 'B', 'B', 'A-']","['ADP310', 'CCC411', 'OHM401']","['A', 'A-', 'B']","['CCC510', 'ADP110', 'CCC805', 'CCC602']","['A-', 'A', 'A-', 'B']",,,,
64,School of Humanities & Soc Sci,ECO,2015,"['CSD101', 'MAT201', 'PHY101', 'CCC704', 'EED102']","['A-', 'A-', 'B', 'B-', 'B-']","['CCC412', 'PHY102', 'MAT203', 'CSD201', 'EED101', 'CCC302']","['B-', 'A-', 'A-', 'C-', 'C', 'A-']","['CCC314', 'EED201', 'EED202', 'MAT205', 'CCC322', 'EED206']","['B', 'C', 'B', 'A-', 'C-', 'C']","['CCC814', 'EED203', 'EED301', 'EED204', 'EED205']","['F', 'C', 'F', 'D', 'D']","['EED306', 'EED302', 'CCC114', 'EED305', 'CCC512', 'EED304']","['D', 'C-', 'D', 'C', 'F', 'C-']","['CCC228', 'CCC801', 'CCC512', 'IRG203']","['A', 'C-', 'D', 'B-']",,,,
65,School of Engineering,CED,2015,"['CCC801', 'CCC302']","['B', 'A-']","['CCC704', 'CCC407']","['C', 'D']","['CCC512', 'CCC602', 'CCC412', 'ECO101']","['F', 'B-', 'D', 'F']","['CCC510', 'CCC621', 'MED101']","['A', 'B', 'B-']","['CCC103', 'CCC402']","['C', 'B']","['ECO101', 'CCC805']","['F', 'C-']",,,,
66,School of Humanities & Soc Sci,ECO,2015,['CCC510'],['A-'],"['CCC815', 'CSD101', 'CCC704']","['B', 'B-', 'B-']","['CCC617', 'MAT390', 'CCC402']","['A-', 'C', 'A']","['CCC226', 'CCC609', 'ENG215', 'IRG101']","['B', 'B-', 'A-', 'C-']","['CCC227', 'CCC115', 'IRG106', 'MAT484']","['B', 'B', 'B-', 'C']","['CCC711', 'IRG203']","['B', 'C-']",,,,
